name,new-domain,new-check,new-base,old-domain,old-check,old-base,old-uri,new-uri,old-fullurl,new-fullurl,old-fullurl,new-fullurl,old-fullurl,new-fullurl
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-group-tenancy,connect-your-users/ent-group-tenancy,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-admin-delegation,connect-your-users/ent-admin-delegation,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,webdav-server-access,connect-your-users/additional-apis/webdav-server-access,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-sftp-access,connect-your-users/additional-apis/ent-sftp-access,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,personal-access-tokens,connect-your-users/additional-apis/personal-access-tokens,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,datasources-overview,connect-your-storage/datasources-overview,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,structured-storage-best-accessing-files-directly,connect-your-storage/datasource-format/structured-storage-best-for-accessing-the-files-directly,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,flat-storage-best-performances,connect-your-storage/datasource-format/flat-storage-best-for-performances,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,recovering-flat-storage-datasource-cells-fuse,connect-your-storage/datasource-format/recovering-a-flat-storage-datasource-with-cells-fuse,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,switching-datasource-storage-formats,connect-your-storage/datasource-format/switching-datasource-storage-formats,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,common-options,connect-your-storage/create-datasources/common-options,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,file-system-storage,connect-your-storage/create-datasources/file-system-storage,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,mounts-nas,connect-your-storage/create-datasources/mounts-nas,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,s3-compatible-storage,connect-your-storage/create-datasources/s3-compatible-storage,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-google-cloud-storage,connect-your-storage/create-datasources/ent-google-cloud-storage,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-azure-blob-storage,connect-your-storage/create-datasources/ent-azure-blob-storage,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,versioning-policies,connect-your-storage/versioning-policies,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,encryption,connect-your-storage/encryption,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,metadata,connect-your-storage/metadata,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-enable-image-video-annotations,connect-your-storage/ent-enable-image-and-video-annotations,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-assign-quotas,connect-your-storage/ent-assign-quotas,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-shard-template-path,connect-your-storage/ent-shard-with-template-path,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,workspaces-cells,secure-your-data/workspaces-cells,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,role-based-access-control,secure-your-data/role-based-access-control,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,using-security-policies,secure-your-data/ent-dynamic-access-control/using-security-policies,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,rules-conditions,secure-your-data/ent-dynamic-access-control/rules-conditions,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-password-complexity,secure-your-data/ent-hardening-security/ent-password-complexity,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-multi-factor-authentication,secure-your-data/ent-hardening-security/ent-multi-factor-authentication,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-ip-ban,secure-your-data/ent-hardening-security/ent-ip-ban,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-viewing-exporting-audit-logs,secure-your-data/ent-audits-compliance/ent-viewing-and-exporting-audit-logs,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-visualize-shared-resources,secure-your-data/ent-audits-compliance/ent-visualize-shared-resources,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-explore-storage-usage,secure-your-data/ent-audits-compliance/ent-explore-storage-usage,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-adding-terms-service,secure-your-data/ent-audits-compliance/ent-adding-terms-of-service,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ux-actions-parameters,secure-your-data/ux-actions-parameters,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-logos-wording,customize-interface/ent-logos-and-wording,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-brand-theme,customize-interface/ent-brand-theme,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-email-templates,customize-interface/ent-email-templates,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-easytransfer-layout,customize-interface/ent-easytransfer-layout,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-using-smartform,customize-interface/ent-using-smartform,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,migrate-pydio-8-cells,advanced/migrate-pydio-8-to-cells,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,scheduler-cells-flows,advanced/scheduler-cells-flows,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,yamljson-installation,advanced/yaml-json-installation,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,pydio-cells-internals,advanced/pydio-cells-internals,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,advanced-configurations,advanced/advanced-configurations,,,,,,
cells-v4,https://pydio.github.io/docs,200,cellsflows,https://pydio.com,200,en/docs/cells-flows,introduction-cells-flows,cells-flows-manual/introduction-to-cells-flows,,,,,,
cells-v4,https://pydio.github.io/docs,200,cellsflows,https://pydio.com,200,en/docs/cells-flows,actions-messages,cells-flows-manual/anatomy-of-a-flow/actions-and-messages,,,,,,
cells-v4,https://pydio.github.io/docs,200,cellsflows,https://pydio.com,200,en/docs/cells-flows,data-types-queries-filters,cells-flows-manual/anatomy-of-a-flow/data-types-queries-filters,,,,,,
cells-v4,https://pydio.github.io/docs,200,cellsflows,https://pydio.com,200,en/docs/cells-flows,triggers,cells-flows-manual/anatomy-of-a-flow/triggers,,,,,,
cells-v4,https://pydio.github.io/docs,200,cellsflows,https://pydio.com,200,en/docs/cells-flows,parameters,cells-flows-manual/anatomy-of-a-flow/parameters,,,,,,
cells-v4,https://pydio.github.io/docs,200,cellsflows,https://pydio.com,200,en/docs/cells-flows,tasks-logs,cells-flows-manual/anatomy-of-a-flow/tasks-logs,,,,,,
cells-v4,https://pydio.github.io/docs,200,cellsflows,https://pydio.com,200,en/docs/cells-flows,demo-simple-flow-video,cells-flows-manual/demo-of-a-simple-flow-video,,,,,,
cells-v4,https://pydio.github.io/docs,200,cellsflows,https://pydio.com,200,en/docs/cells-flows,business-requirements,cells-flows-manual/building-your-own-flows/business-requirements,,,,,,
cells-v4,https://pydio.github.io/docs,200,cellsflows,https://pydio.com,200,en/docs/cells-flows,debugging-tools,cells-flows-manual/building-your-own-flows/debugging-tools,,,,,,
cells-v4,https://pydio.github.io/docs,200,cellsflows,https://pydio.com,200,en/docs/cells-flows,parallelism-concurrency,cells-flows-manual/building-your-own-flows/parallelism-and-concurrency,,,,,,
cells-v4,https://pydio.github.io/docs,200,cellsflows,https://pydio.com,200,en/docs/cells-flows,runtime-parameters-variables,cells-flows-manual/building-your-own-flows/runtime-parameters-and-variables,,,,,,
cells-v4,https://pydio.github.io/docs,200,cellsflows,https://pydio.com,200,en/docs/cells-flows,combining-multiple-triggers,cells-flows-manual/building-your-own-flows/combining-multiple-triggers,,,,,,
cells-v4,https://pydio.github.io/docs,200,cellsflows,https://pydio.com,200,en/docs/cells-flows,webhooks-buttons,cells-flows-manual/providing-end-user-interactions/webhooks-buttons,,,,,,
cells-v4,https://pydio.github.io/docs,200,cellsflows,https://pydio.com,200,en/docs/cells-flows,smart-forms,cells-flows-manual/providing-end-user-interactions/smart-forms,,,,,,
