name,new-domain,new-check,new-base,old-domain,old-check,old-base,old-uri,new-uri,old-fullurl,new-fullurl,incoming-uri,redirect-uri
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-group-tenancy,connect-your-users/ent-group-tenancy,,,en/docs/cells/v4/ent-group-tenancy,cells-v4/admin-guide/connect-your-users/ent-group-tenancy
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-admin-delegation,connect-your-users/ent-admin-delegation,,,en/docs/cells/v4/ent-admin-delegation,cells-v4/admin-guide/connect-your-users/ent-admin-delegation
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,webdav-server-access,connect-your-users/additional-apis/webdav-server-access,,,en/docs/cells/v4/webdav-server-access,cells-v4/admin-guide/connect-your-users/additional-apis/webdav-server-access
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-sftp-access,connect-your-users/additional-apis/ent-sftp-access,,,en/docs/cells/v4/ent-sftp-access,cells-v4/admin-guide/connect-your-users/additional-apis/ent-sftp-access
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,personal-access-tokens,connect-your-users/additional-apis/personal-access-tokens,,,en/docs/cells/v4/personal-access-tokens,cells-v4/admin-guide/connect-your-users/additional-apis/personal-access-tokens
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,datasources-overview,connect-your-storage/datasources-overview,,,en/docs/cells/v4/datasources-overview,cells-v4/admin-guide/connect-your-storage/datasources-overview
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,structured-storage-best-accessing-files-directly,connect-your-storage/datasource-format/structured-storage-best-for-accessing-the-files-directly,,,en/docs/cells/v4/structured-storage-best-accessing-files-directly,cells-v4/admin-guide/connect-your-storage/datasource-format/structured-storage-best-for-accessing-the-files-directly
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,flat-storage-best-performances,connect-your-storage/datasource-format/flat-storage-best-for-performances,,,en/docs/cells/v4/flat-storage-best-performances,cells-v4/admin-guide/connect-your-storage/datasource-format/flat-storage-best-for-performances
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,recovering-flat-storage-datasource-cells-fuse,connect-your-storage/datasource-format/recovering-a-flat-storage-datasource-with-cells-fuse,,,en/docs/cells/v4/recovering-flat-storage-datasource-cells-fuse,cells-v4/admin-guide/connect-your-storage/datasource-format/recovering-a-flat-storage-datasource-with-cells-fuse
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,switching-datasource-storage-formats,connect-your-storage/datasource-format/switching-datasource-storage-formats,,,en/docs/cells/v4/switching-datasource-storage-formats,cells-v4/admin-guide/connect-your-storage/datasource-format/switching-datasource-storage-formats
